"Volume of freight by the road by province(*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Mekong River Delta";11024.0;12732.3;14567.5;15699.2;15992.0;18376.5;19694.4;21971.2;23181.2;23511.2;28414.1;27647.0;29033.2;31524.8;32286.8
"Long An";2406.0;2442.0;2703.0;2770.0;2229.0;3367.0;3566.0;3476.8;4174.0;4359.0;4422.9;4018.9;4127.4;4329.6;4309.1
"Tien Giang";1743.0;1708.0;1652.0;1564.0;1854.0;1950.0;2315.0;1948.0;2131.0;2334.0;2763.6;3281.0;3703.9;4032.9;4165.8
"Ben Tre";608.0;667.0;757.0;968.0;1028.0;1109.0;1153.0;1246.3;1264.2;1303.8;1446.0;1745.6;1870.0;2270.0;2299.7
"Tra Vinh";495.0;565.0;735.0;1076.0;1577.0;1844.3;2220.4;2332.7;2426.0;1859.8;1911.4;2035.1;2619.0;3064.6;3153.4
"Vinh Long";475.0;589.0;758.0;783.0;630.0;679.2;674.0;790.0;925.0;1090.0;1126.6;1163.2;823.0;914.3;968.4
"Dong Thap";415.0;419.0;431.0;455.0;538.0;1020.0;1136.0;1346.0;1091.0;929.0;1109.9;1190.5;1209.0;1593.6;1493.7
"An Giang";801.0;941.0;1261.5;1766.2;2296.0;3111.0;2938.6;3556.0;2953.0;2409.0;5334.9;3891.0;3880.0;4308.0;4446.3
"Kien  Giang";569.0;578.0;662.0;670.0;834.0;1065.0;1161.2;1161.7;1342.0;1526.5;1698.0;1854.0;2140.0;2415.0;2598.0
"Can Tho";2417.0;3503.0;4280.0;3638.0;2884.0;1950.0;1997.0;3350.0;3640.0;3731.0;4162.8;3234.6;2895.0;2538.1;2684.4
"Hau Giang";..;..;..;638.0;688.0;706.0;715.0;814.4;918.0;994.0;1089.7;1188.9;1306.6;1498.5;1585.0
"Soc Trang";575.0;591.0;613.0;633.0;696.0;698.0;725.0;727.1;908.9;1136.1;1215.6;1777.0;2031.0;2539.1;2595.0
"Bac Lieu";402.0;554.3;537.0;510.0;557.0;674.0;919.0;1041.1;1200.0;1585.6;1825.1;1943.8;2140.1;1707.8;1688.5
"Ca Mau";118.0;175.0;178.0;228.0;181.0;203.0;174.2;181.1;208.1;253.4;307.6;323.4;288.2;313.3;299.5
