"Volume of freight by the waterway by province (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Bac Kan";..;9.0;10.0;24.3;25.0;26.0;26.0;..;..;..;..;..;..;..;..
"Tuyen Quang";134.0;130.0;153.0;223.0;131.0;91.0;48.0;0.2;98.0;103.0;10.0;9.8;8.9;5.2;..
"Lao Cai";71.0;44.9;57.9;34.8;13.9;10.8;26.7;6.0;3.0;1.0;1.6;1.8;1.8;2.6;2.7
"Yen Bai";440.0;511.0;461.0;483.0;515.0;209.0;284.0;248.0;259.0;251.0;306.5;305.6;305.9;445.5;448.2
"Thai  Nguyen";81.0;37.0;31.0;23.0;21.0;12.0;6.0;..;20.0;18.4;16.9;..;..;..;..
"Bac Giang";587.0;686.0;743.0;557.0;704.0;749.0;791.6;825.0;991.0;1059.0;655.5;730.4;686.9;646.1;751.4
"Phu Tho";705.1;930.8;1116.9;1625.4;1632.0;2290.9;3275.1;5662.0;4005.6;5114.0;5565.2;6727.1;6811.2;9888.6;11309.2
"Son La";29.0;20.0;21.0;23.0;30.0;60.0;46.0;39.0;35.0;36.0;51.8;58.1;49.4;53.5;63.1
"Hoa Binh";80.0;80.0;85.0;37.0;60.0;75.0;85.0;168.0;194.0;220.0;220.2;201.2;183.5;174.3;179.0
"Northern Central area and Central coastal area";6305.3;7230.0;6993.0;7390.4;7713.9;7201.5;7832.1;8479.4;8845.0;9254.6;10000.3;10520.6;11548.6;11857.2;12666.6
"Thanh Hoa";2864.0;2979.0;3069.0;3148.0;3337.0;3650.0;3898.0;4296.0;4879.0;5401.0;5898.3;6320.5;7358.1;7740.6;8282.4
"Nghe An";446.0;467.0;718.0;750.0;383.0;438.0;491.0;683.7;853.0;946.0;1070.9;1097.6;1209.6;1270.1;1374.2
"Ha Tinh";967.0;1406.0;690.0;777.0;993.0;419.0;531.8;426.0;528.0;541.0;517.2;331.9;351.6;296.7;317.2
"Quang Binh";630.0;821.0;621.0;679.0;778.0;696.0;498.0;464.0;430.0;381.0;389.2;401.6;385.4;318.2;336.5
"Quang Tri";125.0;155.0;153.0;138.0;98.0;141.5;56.0;102.0;59.0;80.2;90.7;98.4;75.1;71.5;75.5
"Thua Thien-Hue";201.0;260.0;372.0;284.0;244.0;135.0;226.0;227.4;220.0;215.0;154.6;220.9;261.6;213.1;211.0
"Da Nang";386.3;348.0;460.0;571.4;737.9;666.0;804.3;787.0;792.0;656.0;751.8;796.9;777.0;762.2;815.0
"Quang  Nam";415.0;529.0;622.0;689.0;715.0;392.0;563.0;496.0;548.0;621.0;714.2;851.1;742.1;743.2;795.3
"Quang  Ngai";39.0;44.0;38.0;47.0;36.0;56.0;57.0;46.0;30.0;34.0;38.5;42.2;42.4;63.7;63.9
"Binh Dinh";50.0;51.0;68.0;76.0;140.0;274.0;372.0;311.0;184.0;152.0;140.5;108.7;110.5;109.8;109.9
"Phu Yen";51.0;61.0;54.0;53.0;49.0;49.0;38.0;31.0;3.0;1.4;1.2;0.8;0.9;1.0;1.0
"Khanh  Hoa";98.0;98.0;118.0;166.0;185.0;264.0;273.0;533.3;285.0;187.0;197.0;215.1;200.7;229.4;245.5
"Binh Thuan";33.0;11.0;10.0;12.0;18.0;21.0;24.0;76.0;34.0;39.0;36.2;34.9;33.6;37.7;39.2
"Central Highlands";37.0;29.0;19.2;14.0;15.5;19.6;30.4;19.7;25.0;31.0;35.2;33.3;24.0;37.0;33.0
"Dak Lak";28.0;20.0;10.0;5.0;5.0;4.0;7.0;11.0;15.0;20.0;25.0;21.2;24.0;37.0;33.0
"Lam Dong";9.0;9.0;9.2;9.0;10.5;15.6;23.4;8.7;10.0;11.0;10.2;12.1;..;..;..
"South East";4283.8;4742.8;5367.0;14105.0;14563.0;16428.0;18047.4;22027.3;23820.0;24646.4;29055.5;31685.4;32563.8;25831.1;28091.3
"Tay Ninh";136.0;109.0;134.0;168.0;169.0;59.0;96.0;95.1;174.0;126.0;111.0;116.9;82.7;75.4;76.7
"Binh  Duong";95.0;130.0;142.0;188.0;257.0;299.0;295.0;279.0;272.0;334.0;361.4;426.2;304.1;298.9;311.0
"Dong Nai";150.0;150.0;150.0;189.0;277.0;418.0;442.0;323.7;640.0;1259.0;1072.7;962.6;985.7;989.5;1025.0
"Ba Ria - Vung Tau";738.0;746.0;792.0;836.0;1552.0;2068.0;2293.0;2435.0;3364.0;504.0;515.4;538.7;542.5;637.0;684.1
"Ho Chi Minh city";3164.8;3607.8;4149.0;12724.0;12308.0;13584.0;14921.4;18894.5;19370.0;22423.4;26995.0;29641.0;30648.8;23830.3;25994.5
"Mekong River Delta";17973.7;19071.0;24524.8;26711.0;30825.0;40951.7;44620.4;42780.0;49790.5;56222.9;58507.6;60511.2;68385.5;71399.5;73626.7
"Long An";4576.0;4645.0;5223.0;5362.0;5246.0;3926.0;4314.0;8060.4;8798.0;10738.0;10878.6;11041.8;10642.1;10863.8;10961.6
"Tien Giang";1386.0;1562.0;1768.0;2109.0;3019.0;3493.0;3375.0;4384.8;5263.0;6475.0;7021.8;7658.8;8466.8;8816.7;9208.5
