"Retail sales of goods and services at current prices by province (*) by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Quang  Ngai";828.7;974.2;1256.9;1771.1;1813.7;2035.8;2540.0;2541.0;3316.0;4096.8;4820.4;6530.0;8286.7;10713.1;13400.0;17262.6;21398.2;25236.7;28485.4;32851.8;32852.8
"Binh Dinh";2707.0;3116.1;3312.8;3694.5;4121.3;4464.8;4798.0;5263.0;5740.3;6578.3;7968.4;9640.5;11772.2;15835.6;18797.3;23005.0;28708.5;32822.7;36779.4;41042.2;41043.2
"Phu Yen";932.6;1041.3;1138.8;1182.2;1335.9;1709.6;1897.0;2065.0;2198.4;2619.1;3176.1;3779.2;4499.7;6151.4;7495.4;9244.5;11487.1;14227.3;17608.2;19937.4;19938.4
"Khanh  Hoa";1394.3;1637.3;1759.8;2025.0;2168.6;2548.7;3523.0;4686.0;5885.3;7098.1;8539.0;12163.8;15459.2;20039.3;23390.1;29982.1;35936.4;41442.4;46266.5;53723.7;53724.7
"Ninh  Thuan";718.1;790.6;854.6;942.6;994.3;1060.1;1146.0;1263.0;1409.3;1702.6;2129.6;2651.6;3260.5;4223.2;5106.9;7229.0;8849.4;10604.1;10874.4;12288.4;12289.4
"Binh Thuan";1197.8;1368.6;1607.4;2072.5;2125.5;2386.4;3008.0;3515.0;4444.5;5501.1;6752.9;8302.2;9825.0;12028.4;14004.5;16631.7;20666.4;24134.0;27843.0;31591.8;31592.8
"Central Highlands";2259.6;3639.3;4344.9;5271.2;6466.5;7599.0;8006.0;9254.0;10543.6;12926.8;17398.2;21681.0;27870.1;40170.9;52575.2;68981.7;86419.0;103187.6;120061.1;134975.6;134976.6
"Kon Tum";152.4;177.5;268.6;335.5;393.5;425.6;523.0;601.0;710.1;845.5;1019.2;1252.4;1566.2;2188.6;2790.6;3674.8;5406.0;6550.4;8496.9;10112.8;10113.8
"Gia Lai";831.5;912.6;1107.8;1197.1;1358.0;1682.1;1802.0;2143.0;2376.1;2981.4;3733.4;4661.5;6079.8;8229.9;10069.5;13656.3;18420.2;21249.9;28663.5;33115.6;33116.6
"Dak Lak";325.9;1512.5;1886.3;2480.5;3249.8;3321.0;3500.0;3850.0;3872.0;4483.9;5321.9;6712.5;8395.7;13271.4;19115.8;26681.2;32445.3;38559.0;43608.7;48699.9;48700.9
