"Exports of goods by country group, country and territory by Country and territory and Year"

"Country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Sweden";4.70;31.80;47.10;58.50;45.20;55.10;53.24;62.40;90.00;108.50;133.60;171.00;202.40;224.90;204.60;233.20;427.40;673.70;905.30;961.10;936.30
"Portugal";..;..;..;..;..;8.90;6.20;5.60;10.40;16.20;22.90;32.80;52.10;85.30;93.20;94.70;153.00;173.30;245.00;272.70;287.90
"Greece";..;..;..;..;..;16.30;21.10;34.30;42.00;45.40;55.00;64.60;81.80;103.20;77.70;80.30;132.30;150.60;186.40;185.10;167.30
"Italy";57.10;49.80;118.20;144.50;159.40;218.00;237.87;264.60;330.90;369.90;469.90;653.10;816.80;1002.80;804.60;980.10;1534.30;1876.60;2290.70;2740.10;2851.60
"Spain";8.80;27.56;66.38;85.58;108.00;137.30;158.50;179.00;234.20;312.00;410.80;558.00;759.60;962.20;939.90;1110.80;1554.70;1793.60;2109.60;2563.30;2299.10
"Austria";9.40;5.60;11.40;8.40;34.90;23.70;28.86;29.70;38.10;59.50;88.90;97.50;112.10;108.70;103.40;144.00;461.50;1065.20;1905.00;2158.80;2188.80
"Germany";218.00;228.00;411.40;552.50;654.30;730.30;721.80;729.00;854.70;1064.70;1085.50;1445.30;1854.90;2073.40;1885.40;2372.70;3366.90;4094.90;4737.00;5174.90;5708.50
"Belgium";34.70;61.30;124.90;212.30;306.70;311.90;341.19;337.10;391.40;515.70;544.10;687.50;849.00;1019.20;831.70;848.80;1199.70;1146.70;1323.30;1805.50;1779.50
"Netherlands";79.70;147.40;266.80;304.10;342.90;391.00;364.54;404.30;493.00;581.90;659.20;857.40;1182.10;1577.40;1355.60;1688.30;2148.00;2476.20;2936.20;3762.20;167.30
"France";169.10;145.00;238.10;297.30;354.90;380.10;467.47;437.90;496.10;555.10;652.90;797.20;884.40;970.80;809.60;1095.10;1658.90;2163.40;2202.70;2396.80;2949.60
"Switzerland";61.80;151.80;331.90;277.30;267.90;166.40;94.84;66.60;74.60;120.20;103.90;155.70;236.90;522.00;2499.70;2652.00;1188.50;397.70;288.30;264.40;230.00
"Canada";17.80;32.55;63.85;80.17;91.10;98.70;107.32;138.10;171.30;270.10;356.00;440.50;539.20;656.40;638.50;802.10;969.40;1156.50;1557.80;2077.70;2409.50
"United States";169.70;204.22;286.72;468.63;504.00;732.80;1065.34;2452.80;3938.60;5024.80;5924.00;7845.10;10104.50;11886.80;11407.20;14238.10;16955.40;19665.20;23852.50;28634.70;33465.10
"Argentina";..;..;..;..;..;7.30;5.30;1.40;5.70;8.70;16.60;30.80;49.80;73.70;55.90;91.60;148.90;166.80;191.70;174.00;378.70
"Brazil";0.90;9.66;11.12;14.16;8.60;13.90;15.10;12.20;22.60;25.00;32.30;61.90;102.60;183.10;200.00;492.80;597.90;718.10;1104.80;1480.70;1436.00
"Chile";..;..;..;..;..;10.70;9.20;10.40;10.30;22.10;30.90;46.10;46.70;68.90;110.50;94.10;137.50;168.60;219.60;520.80;650.30
"Colombia";..;..;..;..;..;7.70;3.20;7.10;3.40;8.20;10.50;23.10;34.40;47.10;46.20;71.90;99.80;106.40;173.50;278.30;346.00
"Cuba";44.80;26.16;9.34;12.73;37.00;34.30;44.20;47.00;65.30;105.30;207.10;152.80;279.70;488.50;240.70;251.30;..;..;..;..;..
"Mexico";0.70;3.53;22.43;32.16;20.10;24.20;44.02;60.50;78.30;127.70;191.50;285.50;360.40;436.40;359.10;488.80;589.70;682.80;892.00;1035.90;1545.50
"Panama";..;..;..;..;..;13.70;14.80;13.30;13.90;44.70;42.90;77.90;118.00;164.50;135.30;173.80;227.40;237.20;234.50;272.00;268.90
