"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015 (*)"
"Fertilizers (Thous. Tons)";2311.00;2787.10;2526.70;3448.00;3702.80;3971.30;3288.20;3820.20;4135.10;4064.80;2915.00;3107.10;3800.10;3042.50;4521.00;3511.00;4255.00;3961.20;4675.50;3796.00;4511.80
"Of which:";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Amonium sulphate (SA) (Thous. Tons)";..;..;..;..;..;436.40;390.00;549.00;509.00;671.10;731.80;740.40;996.90;699.20;1165.00;687.00;894.00;1156.50;1115.60;924.00;1043.70
"Urea (Thous. Tons)";1356.20;1658.30;1480.00;1944.00;1893.00;2108.30;1652.00;1818.00;1926.00;1709.50;858.40;728.80;740.20;721.90;1426.00;985.00;1128.00;504.10;797.90;221.00;620.80
"Mixtures of nitrogen, phosphorus and potassium (Thous. Tons)";..;..;..;..;..;200.10;127.00;275.00;219.00;311.60;169.50;142.00;264.20;176.30;250.00;245.00;306.00;330.30;423.30;223.00;377.90
"Ammonium dihydrogen phosphate (Thous. Tons)";..;..;..;..;..;591.00;574.00;613.00;767.00;596.80;606.30;761.60;666.50;451.00;981.00;705.00;624.00;764.30;976.10;960.00;978.80
"Potassium chloride and sulphate (Thous. Tons)";..;..;..;..;..;411.50;483.00;517.00;662.00;696.30;456.50;571.60;810.50;733.60;491.00;666.00;951.00;837.50;1021.90;988.00;971.30
"Others (Thous. Tons)";..;..;..;..;..;224.00;62.20;48.20;52.10;79.50;93.40;162.70;321.70;260.60;209.00;223.00;353.00;368.50;340.80;481.00;519.30
"Iron, steel (Thous. Tons)";1116.20;1548.50;1400.90;1786.00;2253.60;2845.00;3870.10;4945.90;4622.80;5152.00;5495.10;5667.00;8115.50;8466.00;9704.00;9082.00;7382.00;7612.70;9455.00;11753.00;15514.30
"Of which: Blank (Thous. Tons)";..;..;..;..;..;1227.00;1772.00;2217.00;1855.00;2278.30;2239.70;1972.20;2173.80;2411.60;2432.00;2009.00;892.00;465.00;367.40;619.00;1847.40
"Motor vehicles, assembled (Piece)";..;..;..;..;..;16362.00;28269.00;29355.00;21355.00;24961.00;21279.00;12496.00;30471.00;51059.00;80410.00;53899.00;54647.00;26680.00;35787.00;70516.00;125534.00
"Kind of 9 seats or less (Piece)";..;..;..;..;..;252.00;920.00;757.00;1436.00;3542.00;5447.00;3199.00;14605.00;27986.00;47968.00;35654.00;19294.00;13655.00;15500.00;31538.00;51442.00
"Kind of more than 9 seats (Piece)";..;..;..;..;..;1996.00;3066.00;1161.00;1006.00;1059.00;749.00;850.00;1257.00;868.00;1560.00;415.00;180.00;176.00;625.00;933.00;1251.00
"Motor truck (Piece)";12223.00;15774.00;8901.00;10575.00;6981.00;13048.00;22168.00;24911.00;16094.00;16445.00;12334.00;7676.00;10447.00;15899.00;23743.00;14458.00;14282.00;8762.00;15331.00;23476.00;48955.00
"Others (Piece)";..;..;..;..;..;1066.00;2115.00;2526.00;2819.00;3915.00;2749.00;771.00;4162.00;6342.00;7139.00;3372.00;20891.00;4087.00;4331.00;14569.00;23886.00
"Wheat flour (Thous. Tons)";254.20;296.00;151.60;271.00;159.40;86.70;65.60;61.60;52.10;48.20;38.80;38.00;77.00;69.20;..;..;..;..;..;..;..
"Clinkers (Thous. Tons)";959.30;635.60;861.60;785.80;243.70;214.50;1498.60;3500.50;4131.10;4084.40;4375.50;3615.00;3812.00;3694.50;3540.00;..;..;..;..;..;..
