"Monthly consumer price index, gold and USD price index as compared to the same period of previous year by Year, Commondity group and Month"

"Year";"Commondity group";"Jan.";"Feb.";"Mar.";"Apr.";"May";"Jun.";"Jul.";"Aug.";"Sep.";"Oct.";"Nov.";"Dec."
"2010";"     Foodstuffs";105.43;107.23;110.56;109.47;109.17;109.22;109.82;110.03;110.27;111.07;113.99;116.69
"2010";"Beverage and cigarette";106.75;108.31;108.11;108.02;108.03;108.01;107.95;108.17;107.84;108.67;109.21;109.57
"2010";"Garment, footwear, hat";105.82;106.83;106.78;106.93;107.01;106.86;106.92;106.91;106.56;106.70;107.32;108.38
"2010";"Housing & material construction";113.57;113.75;114.98;117.33;117.90;116.23;113.54;112.57;112.81;113.36;114.47;115.74
"2010";"Household equipment & goods";104.91;105.14;105.20;105.38;105.25;105.06;105.08;105.17;105.13;105.41;105.95;106.60
"2010";"Medicaments, health";103.05;103.11;103.16;103.25;103.34;103.28;103.13;103.43;103.56;103.67;104.19;104.16
"2010";"Transport";112.69;118.77;120.63;120.11;118.16;114.82;109.83;108.65;106.69;105.97;105.82;103.75
"2010";"Post and Communication";96.26;96.12;95.92;95.91;94.05;98.25;98.54;94.10;94.06;93.99;94.01;94.10
"2010";"Education";106.26;106.35;106.44;106.47;106.50;106.52;106.41;107.62;115.56;119.19;119.40;119.38
"2010";"Culture, sport, entertainments";100.77;102.07;102.70;103.62;103.97;104.04;103.83;103.85;104.09;104.23;104.79;105.25
"2010";"Other consumer goods & services";111.59;112.15;112.48;112.43;112.31;111.32;111.15;110.92;111.02;111.26;111.76;111.83
"2010";" Gold price index";153.89;142.58;136.86;133.89;135.62;132.43;135.86;132.35;134.35;138.01;136.24;130.00
"2010";" USD price index";108.96;108.34;109.52;107.86;105.86;105.53;105.04;105.41;107.35;108.37;110.03;109.68
