"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Peru";..;..;..;..;..;4.50;9.60;3.50;11.20;17.00;31.90;39.00;48.00;71.10;70.60;69.00;89.90;96.60;42.80;98.00;60.00
"Egypt";..;1.42;1.10;0.25;1.40;2.60;0.50;0.90;6.90;2.50;19.10;7.90;4.90;11.10;20.90;12.20;14.40;7.60;8.70;15.40;..
"Tunisia";..;..;..;..;..;8.30;4.30;6.00;6.20;5.70;5.10;9.90;1.40;65.30;5.90;5.20;4.20;7.60;6.60;6.00;5.80
"Cote d'Ivoire";..;..;..;..;..;1.10;5.80;2.90;5.10;8.40;12.80;14.20;36.30;100.20;74.20;129.50;174.50;135.90;255.30;250.30;450.40
"Liberia";..;..;..;..;..;11.90;0.10;0.40;0.10;5.60;0.30;4.00;4.70;113.70;3.10;..;0.70;5.30;4.70;5.30;..
"Mali";..;..;..;..;..;5.30;3.40;3.80;5.60;7.30;12.60;17.50;16.30;13.90;7.20;23.80;24.30;18.60;58.80;70.60;..
"South Africa";2.60;2.47;13.04;2.64;4.30;4.20;5.10;24.80;78.50;90.50;108.00;54.00;73.20;137.30;104.00;165.10;223.80;111.10;154.70;144.60;115.10
"Nigeria";..;..;..;..;..;5.60;11.50;6.00;10.10;14.10;30.70;19.10;22.00;41.50;31.10;46.20;116.90;94.80;69.90;99.20;..
"Zambia";..;..;..;..;..;..;0.00;3.60;4.50;3.40;1.40;1.50;0.60;0.90;7.20;28.30;60.60;63.00;29.40;6.10;..
"New Zealand";3.30;20.64;22.32;40.49;55.20;61.30;141.90;60.40;90.10;109.20;118.70;159.70;246.40;237.20;207.40;353.00;383.90;384.90;454.80;478.30;377.80
"Australia";100.60;132.84;192.61;253.89;215.70;293.50;266.40;286.30;278.00;458.80;498.50;1099.70;1059.40;1357.90;1045.90;1443.60;2123.30;1772.20;1586.00;2054.70;2022.30
