"Main industrial products by Main industrial products and Year"

"Main industrial products";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel.2015"
"Car tyre(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;1708.0;..;..;1921.0;3562.0;5494.0;5379.0;5239.0;5652.0;9317.0;9975.0
"Motobike. bicycle tyre(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;37465.0;..;..;50607.0;53969.0;48526.0;47031.0;41407.0;43987.0;49336.0;54388.0
"Car, plane tube(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;9483.0;..;..;6331.0;8556.0;7872.0;9292.0;9408.0;9500.0;10660.0;9824.0
"Motobike, bicycle tube(Thous. pieces)";..;..;..;..;..;..;..;..;..;..;57692.0;..;..;76104.0;87073.0;92782.0;84993.0;91276.0;97590.0;111451.0;116177.0
"Plastic packing(Thous. tons)";..;..;..;..;..;39.4;..;..;134.3;252.5;278.8;325.2;439.7;500.9;606.1;662.9;714.4;741.7;778.0;814.4;841.1
"House-hold porcelain(Mill. pieces)";187.0;232.0;171.5;182.0;219.7;247.1;314.1;283.9;524.0;404.4;513.6;406.6;395.6;338.2;322.6;351.3;372.3;342.0;308.8;284.3;275.2
"Sainitation porcelain(Thous. pieces)";..;..;..;..;..;1525.0;..;..;3321.0;3587.0;4573.0;4460.0;6012.0;5765.0;6811.0;7295.0;8520.0;8140.0;8886.0;9862.0;10826.0
"Brick(Mill. pieces)";6892.0;7119.0;7262.0;7697.0;7830.7;9087.0;9810.5;11365.0;12810.0;14660.0;16530.0;18005.0;15106.0;18278.0;19164.0;20196.0;19865.0;17491.0;17193.0;17368.0;18081.0
"Tile(Mill. pieces)";561.0;478.0;482.0;434.0;386.2;366.2;356.4;350.1;347.4;322.8;526.6;459.1;440.1;483.8;514.6;587.4;543.0;476.1;472.4;514.7;521.9
"Cement(Thous. tons)";5828.0;6585.0;8019.0;9738.0;10489.0;13298.0;16073.0;21121.0;24127.0;26153.0;30808.0;32690.0;37102.0;40009.0;48810.0;55801.0;58271.0;56353.0;57516.0;60982.0;67427.0
"Cement proof sheet(Mill. m2)";14.8;20.8;22.5;23.0;19.6;21.4;43.5;51.1;55.6;62.1;203.4;80.9;90.0;93.6;100.9;88.3;73.1;75.8;69.5;59.3;60.5
"Steel bars(Thous. tons)";1862.0;2805.0;2376.0;2320.0;1693.0;1803.0;1728.0;1565.0;1915.0;669.6;473.5;827.4;890.5;937.0;1702.0;2906.4;2930.8;2964.8;3484.3;3954.0;4122.2
