"Number of cattles as of annual 1st  by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Tra Vinh";31.6;32.4;36.5;36.5;45.8;50.5;53.1;71.6;80.8;98.1;117.9;141.8;145.4;158.3;154.3;152.4;150.1;122.2;131.4;140.1;141.0
"Vinh Long";11.0;11.2;11.5;11.9;13.2;14.0;14.6;17.5;24.8;35.3;45.3;63.2;65.4;64.4;66.2;67.2;67.3;65.5;53.8;57.3;60.0
"Dong Thap";2.8;2.5;2.4;2.5;2.6;3.1;5.3;9.5;12.5;19.4;28.1;33.1;33.7;30.3;21.9;20.5;18.2;19.0;20.6;21.8;23.2
"An Giang";35.7;35.4;33.9;34.9;35.0;37.3;39.8;47.7;52.8;62.1;69.8;74.0;72.9;71.1;73.7;75.3;75.7;79.3;88.2;95.1;100.7
"Kien  Giang";9.1;9.2;9.1;9.9;10.2;10.5;8.6;9.2;10.2;10.3;13.3;14.0;18.0;17.0;15.6;13.8;12.2;10.7;9.6;9.8;10.1
"Can Tho";0.3;0.3;0.4;0.6;0.6;0.7;1.6;3.7;5.2;3.9;4.8;5.4;6.1;5.3;4.4;4.6;3.4;3.5;3.5;3.6;3.6
"Hau Giang";..;..;..;..;..;..;..;..;..;1.6;2.5;3.5;3.4;2.8;2.6;2.6;1.7;1.5;1.3;1.6;1.6
"Soc Trang";3.4;3.9;3.9;3.8;3.8;3.3;3.5;5.2;8.0;12.4;17.6;25.3;31.9;33.0;32.5;31.6;26.6;23.6;24.7;25.6;25.5
"Bac Lieu";..;..;..;..;0.1;0.2;0.2;0.3;0.9;0.5;0.6;1.5;1.7;1.8;1.6;1.7;1.4;1.3;1.2;1.2;1.2
"Ca Mau";..;..;..;..;0.0;0.4;..;..;0.1;0.1;0.1;0.7;0.8;0.6;0.6;0.5;0.5;0.4;0.4;0.3;0.3
