"Planted area of cereals by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Binh  Duong";30.7;28.1;27.0;27.0;27.3;26.2;25.6;25.1;24.7;23.9;19.6;16.6;14.3;12.3;10.9;10.6;10.3;10.0;9.7;8.7;8.0
"Dong Nai";129.5;134.4;137.9;133.2;139.6;147.2;144.7;148.9;149.0;146.4;139.3;134.2;133.7;131.7;127.6;117.1;118.6;119.6;118.2;117.5;115.8
"Ba Ria - Vung Tau";36.7;37.0;37.9;39.0;42.8;46.1;46.5;43.6;42.9;42.9;39.7;42.4;41.6;43.0;43.6;40.5;40.9;40.3;39.4;39.4;40.1
"Ho Chi Minh city";80.2;80.9;77.8;74.6;78.9;77.0;68.1;57.4;50.8;47.6;41.4;37.4;33.9;31.1;28.4;25.3;22.6;23.2;22.5;22.3;21.4
"Mekong River Delta";3212.7;3464.9;3503.9;3781.3;4006.1;3964.9;3814.9;3861.3;3818.8;3848.2;3861.2;3807.6;3719.8;3899.5;3907.2;3983.6;4134.6;4223.6;4380.4;4287.5;4346.6
"Long An";325.8;371.4;375.0;400.3;441.6;453.5;442.8;434.6;426.5;435.6;432.5;437.8;433.0;462.1;467.6;476.3;489.1;503.6;531.6;523.4;529.3
"Tien Giang";271.0;282.3;290.9;283.9;288.8;285.0;278.4;268.2;264.0;262.5;255.3;249.3;251.0;249.5;251.1;248.7;246.8;246.0;239.9;234.6;229.1
"Ben Tre";93.9;98.9;99.7;101.7;101.7;102.4;101.8;100.7;96.3;91.3;84.3;82.5;80.4;79.9;82.0;81.1;77.9;76.7;72.9;67.3;63.7
"Tra Vinh";171.0;161.0;203.1;212.1;234.4;239.6;243.2;239.3;241.4;240.6;237.6;233.6;229.4;232.2;237.5;237.9;238.7;232.9;240.9;241.2;242.8
"Vinh Long";206.7;210.6;198.8;229.2;225.0;209.2;217.0;210.9;207.9;208.9;203.9;197.4;159.3;178.5;177.9;171.3;183.0;187.4;183.0;181.3;181.7
"Dong Thap";363.2;393.2;373.9;424.8;445.2;411.0;411.0;430.2;441.3;457.7;473.3;459.0;451.6;473.2;455.0;468.8;506.0;492.2;546.9;533.3;550.6
"An Giang";402.5;427.4;425.3;437.1;471.2;469.5;466.3;484.9;513.0;532.6;539.5;513.5;530.8;576.0;566.5;596.4;618.0;635.8;652.7;635.4;652.8
"Kien  Giang";380.3;449.7;439.7;505.9;521.3;541.0;550.6;576.0;563.1;570.4;595.8;595.1;582.9;609.2;622.2;642.7;687.0;725.2;770.5;753.7;769.6
"Can Tho";402.8;406.7;390.9;434.9;467.6;414.5;442.1;458.1;455.7;230.6;232.8;223.6;208.8;219.6;209.9;210.4;225.8;229.3;237.8;233.3;238.9
"Hau Giang";..;..;..;..;..;..;..;..;..;230.7;230.2;228.4;190.9;205.0;193.2;212.5;214.4;216.3;214.2;208.0;210.1
"Soc Trang";278.0;322.5;333.2;346.3;359.1;373.1;351.6;357.4;351.4;317.8;324.4;327.2;328.3;326.0;338.5;353.3;352.7;369.7;377.7;367.7;371.1
"Bac Lieu";130.2;139.9;152.2;170.9;206.2;217.6;178.3;170.0;150.7;137.7;141.8;144.6;150.1;155.2;166.6;158.4;164.4;178.8;182.0;180.4;180.9
"Ca Mau";187.3;201.3;221.2;234.2;244.0;248.5;131.8;131.0;107.5;131.8;109.8;115.6;123.3;133.1;139.2;125.8;130.8;129.7;130.3;127.9;126.0
