"Planted area of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Quang Tri";1.6;1.7;1.9;1.5;2.1;1.9;1.9;2.1;2.3;2.6;2.9;3.0;3.2;3.8;3.3;3.6;3.6;3.8;3.6;3.8;3.9
"Thua Thien-Hue";0.7;0.8;0.9;0.9;0.9;1.2;1.4;1.4;1.3;1.4;1.8;1.8;1.7;1.6;1.6;1.6;1.7;1.7;1.6;1.6;1.6
"Da Nang";0.1;0.1;0.1;0.3;0.1;0.1;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.8;0.8;0.6;0.5;0.4;0.4
"Quang  Nam";5.7;6.0;6.7;6.0;7.3;8.9;9.7;9.8;10.6;10.7;10.5;11.6;11.7;12.3;12.5;13.1;13.1;13.4;12.7;13.4;13.1
"Quang  Ngai";4.5;4.9;5.4;6.2;6.3;7.7;8.4;8.4;8.5;9.5;9.8;10.2;10.6;10.6;10.8;10.3;10.2;10.6;10.6;10.5;10.2
"Binh Dinh";1.0;1.3;1.7;1.3;1.9;2.8;3.7;5.9;6.8;7.2;7.6;7.8;7.8;8.2;7.9;7.8;8.0;8.3;8.4;8.3;8.7
"Phu Yen";2.9;4.3;4.5;3.6;3.7;4.0;4.9;5.3;5.6;5.8;6.2;6.9;5.8;6.4;6.6;6.9;6.6;6.0;6.3;6.2;5.9
"Khanh  Hoa";5.2;4.9;3.9;4.3;4.9;5.0;5.2;5.0;5.1;5.0;5.2;5.6;5.9;5.7;6.0;6.0;6.3;6.6;6.7;6.7;6.1
"Ninh  Thuan";6.8;7.1;8.0;8.0;8.8;10.8;10.5;10.3;10.9;12.3;13.3;13.5;14.2;14.7;15.2;14.5;15.8;15.8;15.4;14.0;11.8
"Binh Thuan";6.9;8.2;8.7;9.3;10.3;12.0;13.4;15.6;17.7;19.1;22.6;19.8;19.8;18.4;19.2;18.7;17.5;19.7;19.8;19.9;19.6
"Central Highlands";48.7;57.0;69.5;69.5;73.9;86.8;103.1;149.2;184.0;209.2;236.6;227.6;235.6;233.6;243.6;236.8;232.6;246.9;251.7;249.6;240.9
"Kon Tum";2.7;3.2;3.4;3.6;4.1;4.4;5.9;7.2;8.1;8.7;9.7;9.2;8.7;8.0;8.2;8.0;7.3;7.2;7.3;6.7;6.4
"Gia Lai";14.4;17.0;18.7;17.7;20.7;23.5;27.1;36.1;45.8;52.4;56.0;54.3;57.6;55.4;57.2;56.9;50.7;53.3;52.6;52.6;51.6
"Dak Lak";19.5;22.4;32.6;32.7;35.4;46.5;56.9;90.0;113.7;113.5;126.5;117.2;118.4;117.9;121.8;115.7;116.0;119.6;123.0;122.3;117.8
"Dak Nong";..;..;..;..;..;..;..;..;..;18.4;26.1;27.5;31.0;33.9;38.5;40.0;41.8;49.1;52.3;52.6;51.3
