"Planted area of winter paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Da Nang";5.6;5.6;5.9;5.0;5.2;5.0;5.3;4.3;4.4;4.3;3.6;3.8;3.8;3.9;3.8;3.3;3.0;2.7;2.5;2.5;2.5
"Quang  Nam";44.7;44.9;46.2;44.7;45.7;45.1;45.8;45.2;44.4;44.1;43.1;42.8;43.7;45.1;44.7;43.0;44.8;45.3;44.8;43.8;45.0
"Quang  Ngai";28.9;31.3;31.3;29.7;30.7;28.0;20.2;20.9;18.4;11.2;10.4;10.6;10.2;6.1;4.2;4.0;3.6;2.7;2.0;2.3;2.6
"Binh Dinh";38.3;39.7;38.0;38.9;40.0;39.5;40.5;34.7;38.9;39.1;31.2;33.6;28.4;27.4;24.9;24.1;22.2;20.6;18.6;16.1;15.3
"Phu Yen";14.5;12.5;10.4;14.8;12.2;10.2;10.8;10.4;10.2;10.1;10.3;9.0;7.7;7.4;7.0;6.6;6.6;6.3;5.9;5.7;5.8
"Khanh  Hoa";9.7;10.2;10.8;11.1;12.3;11.4;11.8;12.8;11.5;10.7;11.2;11.2;10.3;8.5;8.2;7.3;7.0;8.1;7.5;7.9;5.4
"Ninh  Thuan";12.2;11.6;11.1;11.1;12.8;11.9;11.8;11.2;11.7;11.9;6.8;11.5;12.1;13.0;12.3;13.6;10.2;12.7;14.9;14.0;12.9
"Binh Thuan";40.6;42.3;43.8;44.1;42.9;43.7;42.4;42.0;38.0;39.5;40.6;41.4;40.3;35.3;40.8;38.6;39.9;40.0;40.9;41.6;40.1
"Central Highlands";143.1;125.2;126.3;122.9;119.6;126.1;125.2;126.1;130.3;131.0;131.7;135.9;134.3;136.2;136.6;136.7;140.1;142.7;146.1;146.0;146.8
"Kon Tum";16.2;15.5;15.8;15.3;15.7;16.9;16.5;15.7;15.6;16.5;17.1;16.8;16.7;16.6;16.8;15.9;16.0;16.4;16.3;16.4;16.8
"Gia Lai";47.4;46.1;47.6;44.4;42.8;45.0;45.9;45.8;45.4;44.2;44.9;47.8;46.1;46.1;46.8;46.4;46.1;48.0;48.3;48.9;48.9
"Dak Lak";54.4;47.6;46.3;43.7;42.3;45.2;44.2;45.8;49.3;41.9;40.4;44.7;45.9;49.1;48.5;50.3;53.3;54.4;57.9;57.5;58.3
"Dak Nong";..;..;..;..;..;..;..;..;..;8.4;10.1;8.6;7.8;7.6;7.6;7.0;7.8;7.8;7.9;8.0;7.9
"Lam Dong";25.1;16.0;16.6;19.5;18.8;19.0;18.6;18.8;20.0;20.0;19.2;18.0;17.8;16.8;16.9;17.1;16.9;16.1;15.7;15.2;14.9
"South East";219.9;219.0;213.7;207.3;218.4;210.4;197.1;183.7;178.7;174.4;160.0;143.2;138.2;137.5;131.5;124.5;122.1;121.1;112.6;109.7;107.7
"Binh Phuoc";25.0;20.6;22.5;17.5;17.3;13.9;11.4;12.4;12.4;12.2;11.6;11.6;10.7;11.4;11.7;11.7;10.7;11.0;10.3;9.7;9.6
"Tay Ninh";74.0;81.1;73.4;73.5;80.0;77.8;75.2;72.3;73.0;71.2;64.6;56.2;56.3;59.2;57.8;56.4;56.8;56.4;50.8;50.4;50.9
"Binh  Duong";19.7;16.3;16.1;16.1;15.8;14.7;13.9;13.7;13.6;13.3;10.2;8.7;7.7;6.4;5.6;5.3;4.9;4.8;4.7;4.0;3.5
"Dong Nai";32.8;34.1;35.9;38.0;39.4;40.2;39.0;37.4;36.5;36.9;36.4;33.9;33.4;32.1;31.0;28.2;28.2;28.0;27.4;26.5;25.4
"Ba Ria - Vung Tau";13.7;13.1;14.2;13.7;15.8;16.2;16.6;14.9;15.5;14.3;13.5;13.1;12.6;12.5;11.8;11.6;10.9;10.9;10.4;10.3;10.1
"Ho Chi Minh city";54.7;53.8;51.6;48.5;50.1;47.6;41.0;33.0;27.7;26.5;23.7;19.7;17.5;15.9;13.6;11.3;10.6;10.0;9.0;8.8;8.2
"Mekong River Delta";757.3;671.0;716.4;635.6;597.0;543.6;442.9;420.2;378.0;390.8;372.3;363.7;377.4;392.6;410.6;376.1;375.4;391.3;405.5;394.0;386.1
"Long An";49.7;43.2;38.0;32.3;32.4;26.0;24.2;22.5;22.1;21.7;18.9;15.5;15.4;15.3;13.3;12.3;10.0;10.1;8.8;8.8;5.1
"Tien Giang";11.4;8.9;7.6;6.2;3.3;2.8;2.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ben Tre";49.6;50.0;51.9;50.7;49.0;48.9;47.0;45.9;44.6;41.5;37.7;35.7;34.8;34.1;35.8;35.9;33.6;33.6;33.1;29.2;27.9
"Tra Vinh";84.3;53.8;81.5;81.5;94.8;97.0;98.5;95.9;96.0;95.0;93.9;92.6;93.2;90.3;93.4;91.8;90.9;89.0;90.4;89.2;89.2
"Vinh Long";9.3;4.7;4.5;2.4;2.1;3.8;2.5;2.3;2.4;1.8;..;..;..;..;..;..;..;..;..;..;..
"Dong Thap";1.0;0.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"An Giang";28.8;22.3;15.2;16.7;14.8;11.2;11.5;11.8;8.3;8.7;8.3;7.3;7.2;8.1;7.6;5.4;5.4;5.9;5.4;5.1;5.3
"Kien  Giang";103.3;93.7;95.5;96.8;82.9;41.5;32.6;28.3;19.4;33.1;45.2;44.6;51.2;60.0;62.2;62.2;54.4;64.4;65.9;62.4;63.0
"Can Tho";6.2;8.4;8.2;8.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Hau Giang";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Soc Trang";132.6;110.0;121.1;73.6;51.0;67.1;54.6;48.4;40.3;24.5;31.2;23.8;25.8;22.3;26.9;21.8;23.6;26.6;31.5;30.6;28.6
"Bac Lieu";111.6;109.4;114.6;96.9;106.4;98.3;79.5;78.1;72.9;69.4;64.1;65.3;62.7;65.9;68.5;56.8;62.7;68.3;76.1;78.0;77.9
"Ca Mau";169.5;166.1;178.3;170.0;160.3;147.0;90.2;87.0;72.0;95.1;73.0;78.9;87.1;96.6;102.9;89.9;94.8;93.4;94.3;90.7;89.1
