"Number of pigs as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Dong Nai";348.6;424.7;456.8;487.5;537.2;580.8;575.5;681.1;771.5;966.7;1140.1;1235.2;1105.2;1084.2;1225.7;1119.8;1329.3;1306.5;1320.1;1418.9;1536.9
"Ba Ria - Vung Tau";108.0;119.7;125.3;127.1;137.3;138.9;136.8;144.0;169.5;194.5;206.4;221.2;264.2;278.1;286.0;275.6;303.2;301.3;301.6;307.3;328.1
"Ho Chi Minh city";183.5;183.8;194.3;190.2;190.9;211.7;194.1;211.5;221.9;221.1;235.6;301.0;317.5;296.5;307.0;293.4;309.7;312.4;286.7;291.1;306.4
"Mekong River Delta";2376.8;2542.1;2591.6;2593.6;2797.2;2976.6;2946.1;3151.6;3448.6;3713.8;3828.6;3982.0;3784.8;3630.1;3730.8;3798.9;3772.5;3722.9;3595.6;3470.4;3589.1
"Long An";155.7;180.2;165.6;178.4;183.8;187.1;212.1;213.7;241.1;280.2;335.3;410.2;319.1;310.8;306.3;274.2;266.9;254.0;253.2;258.7;258.3
"Tien Giang";365.8;384.3;383.4;384.2;406.3;429.1;437.6;464.6;486.4;495.4;517.8;553.2;561.2;520.8;549.5;553.4;565.1;571.5;564.2;585.1;601.6
"Ben Tre";232.1;242.5;247.2;252.2;261.8;280.8;272.6;288.5;312.1;315.4;299.8;325.8;303.5;280.3;311.0;431.6;446.5;430.9;431.1;450.2;470.0
"Tra Vinh";163.4;192.8;195.5;202.3;208.1;225.2;232.0;282.5;307.8;349.6;370.5;351.5;380.9;367.9;409.4;421.8;430.2;438.3;403.8;328.7;339.2
"Vinh Long";187.3;197.4;211.8;217.5;234.7;245.7;256.9;269.0;285.2;300.9;315.0;288.0;304.2;310.4;331.2;402.0;308.0;305.7;308.5;312.0;338.3
"Dong Thap";151.3;167.7;172.6;176.5;186.9;186.5;214.3;227.4;272.2;304.0;317.3;322.4;310.6;299.5;290.7;272.6;274.1;274.5;252.6;226.0;232.9
"An Giang";139.3;155.5;176.9;162.6;165.5;186.1;164.9;179.8;203.8;252.3;209.2;190.9;175.6;169.3;181.9;170.8;177.9;170.3;151.3;105.0;106.8
"Kien  Giang";207.2;200.5;242.3;220.2;263.1;277.0;265.2;296.7;331.0;358.2;383.3;350.8;357.6;331.7;334.5;319.4;327.8;322.8;326.7;334.6;339.7
"Can Tho";205.6;213.3;219.8;217.0;242.6;242.6;289.2;288.0;314.5;149.3;135.9;167.3;142.9;125.1;113.9;121.0;126.2;125.3;107.9;112.5;118.4
"Hau Giang";..;..;..;..;..;..;..;..;..;181.0;175.0;249.8;206.9;183.0;151.4;129.6;117.7;115.5;115.5;118.5;123.6
"Soc Trang";180.8;189.3;200.2;204.9;218.2;224.7;226.4;236.3;256.1;273.8;277.2;303.0;257.8;257.8;291.4;267.0;280.0;279.2;278.5;290.5;297.9
"Bac Lieu";223.6;177.0;170.1;168.9;185.7;206.0;187.1;203.3;222.3;226.4;246.4;253.8;254.2;253.8;241.1;217.9;226.8;221.3;210.1;215.2;223.9
"Ca Mau";164.7;241.6;206.2;208.9;240.7;285.8;187.8;201.8;216.1;227.3;245.9;215.3;210.3;219.7;218.5;217.6;225.3;213.6;192.2;133.4;138.5
