"Yield of spring paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Phu Yen";49.5;57.2;59.1;50.5;56.6;52.2;51.2;61.7;60.5;59.9;61.0;55.5;65.0;46.1;63.6;67.1;59.4;63.3;67.5;70.1;72.7
"Khanh  Hoa";41.8;47.4;47.8;46.5;48.0;47.0;49.2;54.2;51.3;54.4;56.8;49.7;53.5;55.0;57.0;58.4;56.8;55.9;60.4;64.1;63.8
"Ninh  Thuan";46.1;49.1;48.0;49.2;57.3;55.1;51.2;54.8;52.3;52.7;52.0;61.1;61.5;63.3;60.4;60.8;63.0;60.2;61.6;69.3;67.0
"Binh Thuan";40.4;40.3;39.2;38.2;42.4;38.8;41.6;42.1;43.9;45.3;49.0;46.0;49.7;51.7;53.3;57.6;61.3;59.8;59.9;61.6;63.3
"Central Highlands";37.3;40.6;46.0;35.1;44.3;47.9;49.6;42.8;47.2;49.6;41.0;55.4;53.8;52.1;56.8;56.9;52.2;58.1;56.2;61.2;56.8
"Kon Tum";39.4;44.1;45.2;40.8;36.9;40.8;41.3;41.6;40.9;40.3;36.8;41.1;43.2;42.8;44.1;46.6;41.5;45.5;44.5;45.8;47.1
"Gia Lai";47.3;44.8;48.7;40.2;46.4;50.7;50.7;47.1;51.1;51.6;48.8;56.2;55.9;56.5;55.7;56.3;46.1;57.6;53.9;57.9;50.7
"Dak Lak";33.8;40.1;47.6;33.4;48.4;51.1;54.6;45.9;50.5;53.7;37.4;62.9;58.1;52.1;64.0;63.8;60.1;63.4;62.5;69.4;64.5
"Dak Nong";..;..;..;..;..;..;..;..;..;48.9;45.6;53.1;55.6;56.4;59.0;59.0;55.3;58.9;56.4;62.2;61.5
"Lam Dong";31.4;33.5;38.4;27.6;35.1;38.6;40.2;27.9;34.6;41.7;31.5;43.4;44.1;47.0;47.1;44.5;48.1;50.6;49.9;50.8;51.0
"South East";33.3;38.4;36.1;34.4;36.1;37.7;37.5;39.7;40.6;42.1;45.5;45.7;47.6;49.8;49.6;50.3;51.9;52.6;53.4;54.8;56.2
"Binh Phuoc";24.6;27.1;26.2;14.4;27.6;28.0;27.4;23.3;26.5;26.4;22.4;28.6;29.0;33.4;32.6;33.8;34.8;33.9;34.8;33.3;34.4
"Tay Ninh";33.2;40.7;35.8;33.8;36.8;38.7;38.1;42.3;42.5;44.2;49.7;48.9;49.5;51.7;50.5;51.1;53.4;53.8;54.8;56.6;57.5
"Binh  Duong";31.8;33.0;32.6;31.6;32.4;33.1;33.7;33.9;34.3;35.3;36.9;37.1;38.5;41.0;43.5;43.7;45.7;46.2;47.1;48.1;47.9
"Dong Nai";36.1;40.0;40.2;38.1;38.4;40.1;40.8;40.8;42.6;44.4;46.9;47.6;52.4;54.4;55.0;55.5;55.8;57.2;57.7;58.6;60.8
"Ba Ria - Vung Tau";35.9;36.8;36.2;35.9;37.4;37.1;37.7;31.9;35.5;38.0;39.2;40.4;42.2;42.8;46.5;48.0;48.1;51.5;50.9;54.3;57.5
"Ho Chi Minh city";31.3;35.7;35.0;35.6;34.2;35.5;35.4;38.5;39.0;40.5;39.9;40.7;41.9;43.0;43.5;43.9;44.6;48.0;47.7;47.3;48.2
"Mekong River Delta";51.6;51.9;53.3;53.0;50.1;52.6;50.4;57.0;56.6;58.7;61.4;60.0;60.2;64.4;63.6;65.7;66.9;68.6;68.4;71.6;71.2
"Long An";37.8;40.5;42.1;43.7;40.7;42.8;43.5;48.7;50.2;50.5;53.3;51.0;52.1;54.0;53.1;57.2;58.5;60.9;63.5;67.1;67.1
"Tien Giang";55.0;53.4;56.2;53.8;50.9;56.8;57.2;61.3;58.7;60.0;61.6;59.8;63.7;66.7;64.7;65.6;66.7;69.8;69.0;72.0;72.0
"Ben Tre";41.2;43.6;43.9;43.0;38.4;48.5;46.3;46.7;48.5;50.8;44.2;50.3;54.4;57.4;58.9;57.4;52.3;57.8;50.7;58.0;50.9
"Tra Vinh";48.5;46.2;47.3;48.7;41.2;49.4;39.9;51.6;53.1;53.2;56.1;51.1;46.3;54.8;53.0;58.3;47.4;62.3;60.3;67.2;68.1
"Vinh Long";52.3;55.6;56.5;59.2;54.7;57.1;53.1;59.6;58.0;59.1;61.7;61.0;61.1;63.2;63.2;67.8;66.1;68.1;66.5;70.9;71.6
"Dong Thap";53.9;52.0;57.0;58.1;56.3;58.7;60.0;63.5;63.1;63.8;67.0;65.4;68.3;69.9;68.9;70.9;71.6;72.2;70.7;72.2;70.4
"An Giang";61.2;60.2;62.3;61.6;58.1;61.0;55.6;65.4;64.1;65.2;69.3;68.1;71.1;73.1;71.6;73.0;75.1;74.0;73.5;77.4;75.6
"Kien  Giang";53.1;54.5;54.2;53.6;48.3;49.6;45.0;53.0;52.6;56.8;59.9;59.5;59.3;67.1;67.0;66.6;69.5;70.6;69.1;72.2;72.4
"Can Tho";52.3;56.5;56.8;58.1;54.9;57.1;56.0;63.6;61.1;68.0;69.7;66.9;68.0;68.5;67.3;70.6;71.6;72.9;72.4;73.4;73.9
"Hau Giang";..;..;..;..;..;..;..;..;..;61.3;63.9;62.1;52.7;61.6;63.0;65.1;67.0;71.1;71.1;75.2;77.3
"Soc Trang";48.1;43.0;42.6;45.2;45.3;48.5;44.7;50.5;51.1;52.4;55.3;53.8;50.1;59.1;58.6;62.5;63.9;65.5;66.0;68.0;67.3
"Bac Lieu";..;27.3;23.0;24.9;44.1;42.0;40.6;44.2;40.9;54.4;50.9;56.1;52.2;58.2;58.3;56.4;66.7;63.4;66.0;72.4;72.5
"Ca Mau";..;40.0;40.0;13.2;39.7;36.7;39.6;24.0;31.1;38.6;35.0;37.5;..;..;..;..;..;..;..;..;..
