"Area of water surface for the aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1988";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Cao Bang";0.2;0.2;0.1;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Bac Kan";0.3;0.4;0.4;0.4;0.4;0.5;0.5;0.7;0.8;0.8;0.8;0.8;0.9;0.9;1.0;1.1;1.1;1.1;1.1;1.1;1.1
"Tuyen Quang";1.3;0.8;1.4;1.1;1.2;1.3;1.4;1.6;1.6;1.7;1.8;2.0;2.2;2.2;2.1;2.1;2.3;2.5;3.0;2.9;3.0
"Lao Cai";0.7;0.7;0.7;0.7;0.8;0.9;1.0;1.2;1.2;1.1;1.2;1.5;1.5;1.5;1.6;1.6;1.6;1.7;1.8;1.9;1.9
"Yen Bai";1.6;1.7;1.7;1.7;1.7;1.8;1.9;1.9;2.3;2.5;2.5;2.5;2.6;2.6;2.6;2.6;2.6;2.2;2.3;2.3;2.4
"Thai  Nguyen";3.6;7.2;3.2;4.5;2.0;2.3;2.3;3.0;4.5;4.5;4.5;4.5;4.5;4.6;4.8;4.6;4.5;4.8;4.8;4.9;5.8
"Lang Son";0.1;0.1;0.1;0.6;0.6;0.9;1.0;0.9;0.9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.3
"Bac Giang";3.6;3.5;3.5;3.5;3.0;3.0;3.0;3.4;4.3;4.6;5.0;5.5;5.9;7.7;8.5;8.9;9.2;9.2;9.5;9.8;10.0
"Phu Tho";2.8;3.9;3.6;3.4;3.9;4.7;4.7;6.6;7.0;7.3;7.6;8.5;9.1;9.1;9.6;9.7;9.9;9.7;9.8;10.1;10.1
"Dien Bien";..;..;..;..;..;..;..;..;1.3;1.4;1.4;1.6;1.7;1.7;1.8;1.9;1.9;1.9;1.9;2.0;2.1
"Lai Chau";0.9;0.9;0.9;1.0;1.2;1.2;1.4;1.4;0.3;0.4;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.7;0.8;0.8;0.8
"Son La";0.9;0.9;0.9;0.9;0.9;1.0;1.0;1.5;1.5;1.5;1.6;2.0;2.5;2.4;2.5;2.6;2.5;2.5;2.5;2.6;2.6
"Hoa Binh";1.3;1.3;1.3;1.3;1.3;1.3;1.4;1.5;1.6;1.7;1.7;1.8;1.9;1.8;2.1;2.2;2.2;2.2;2.2;2.2;2.2
"Northern Central area and Central coastal area";41.2;41.9;43.6;48.3;52.0;49.6;54.8;60.2;66.2;72.5;73.6;77.6;78.9;77.9;77.9;79.9;80.8;86.5;82.8;85.9;86.1
"Thanh Hoa";16.9;12.6;13.0;13.5;14.6;10.6;10.3;12.0;12.2;12.9;13.0;12.9;13.4;13.4;13.6;13.9;14.1;15.7;15.0;15.3;16.2
"Nghe An";5.0;9.2;9.6;9.6;10.2;12.2;13.1;13.7;14.7;17.4;18.8;19.8;20.4;21.1;20.4;20.4;20.9;21.0;20.1;20.2;20.2
"Ha Tinh";2.0;2.3;2.6;2.5;2.5;2.8;3.0;3.5;4.6;5.4;6.1;6.8;6.7;6.2;6.2;6.2;6.0;6.4;6.1;6.5;6.7
"Quang Binh";0.6;1.1;1.1;1.2;1.3;1.4;1.6;2.0;2.1;2.7;3.1;3.5;3.7;3.9;4.4;4.7;4.6;4.7;4.7;5.0;5.1
"Quang Tri";0.7;0.8;0.8;0.7;0.8;0.9;1.1;1.2;1.6;1.9;2.2;2.4;2.5;2.5;2.9;3.1;3.1;3.1;3.3;3.4;3.4
"Thua Thien-Hue";1.5;1.9;1.9;2.0;2.3;2.7;3.6;3.9;4.6;5.1;5.2;5.3;5.4;5.5;5.7;5.8;5.8;6.2;7.2;7.5;7.2
"Da Nang";0.5;0.6;0.5;0.7;0.5;0.7;0.7;0.8;0.8;0.8;0.7;0.6;0.7;0.7;0.7;0.7;0.6;0.5;0.5;0.5;0.5
"Quang  Nam";4.3;4.4;4.5;4.5;4.7;4.9;5.3;5.6;6.0;6.0;6.3;7.2;7.5;7.0;7.4;6.7;7.0;7.0;6.9;8.1;8.2
"Quang  Ngai";0.4;0.5;0.4;0.5;0.5;0.5;0.8;1.3;1.3;1.3;1.4;1.4;1.5;1.5;1.4;1.4;1.4;2.0;2.1;1.9;2.0
"Binh Dinh";3.8;2.7;2.8;3.2;3.5;3.7;4.2;4.1;4.4;4.5;4.5;4.5;4.6;4.3;4.5;4.7;4.7;4.6;4.2;4.5;4.8
"Phu Yen";0.9;1.0;1.1;2.2;2.6;2.8;3.1;2.7;2.7;3.1;2.3;2.6;2.3;2.3;2.8;3.0;3.0;2.8;3.0;3.0;2.7
"Khanh  Hoa";3.7;3.8;4.3;6.7;7.2;4.6;5.1;6.0;6.4;6.4;6.6;6.5;6.5;6.1;4.9;5.6;6.0;8.8;5.7;5.8;5.2
"Ninh  Thuan";0.6;0.6;0.5;0.4;0.6;0.7;1.1;1.5;1.9;2.1;1.4;1.8;1.5;1.3;0.9;1.3;1.1;1.2;1.0;1.3;1.2
"Binh Thuan";0.2;0.4;0.5;0.5;0.6;1.1;1.8;1.9;2.9;2.9;2.0;2.3;2.2;2.2;2.1;2.4;2.5;2.5;3.0;2.9;2.7
"Central Highlands";4.2;4.3;4.6;4.8;4.7;5.1;5.7;5.7;6.2;6.6;8.3;8.5;9.3;10.7;11.4;13.0;12.1;13.5;13.9;13.9;13.6
"Kon Tum";0.4;0.4;0.5;0.4;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6
"Gia Lai";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.3;0.4;0.5;1.2;1.3;1.4;1.4;1.0;1.0
"Dak Lak";2.9;3.0;3.0;3.1;3.3;3.3;3.9;4.0;3.5;3.6;5.0;5.0;5.4;6.3;6.7;7.3;6.0;7.8;7.8;8.1;8.1
"Dak Nong";..;..;..;..;..;..;..;..;0.6;0.6;0.7;0.7;0.7;0.9;0.9;0.9;1.1;1.1;1.2;1.3;1.4
"Lam Dong";0.8;0.8;1.0;1.2;1.1;1.4;1.4;1.3;1.7;2.0;2.1;2.2;2.4;2.6;2.8;3.1;3.2;2.8;3.0;2.9;2.5
"South East";33.9;33.1;33.5;32.7;35.9;40.2;41.5;44.1;47.4;50.5;51.8;52.3;53.4;52.7;52.0;51.7;52.2;29.1;27.4;25.4;26.9
"Binh Phuoc";0.3;0.2;0.3;0.3;0.4;0.6;0.8;1.1;1.2;1.8;2.1;2.1;2.1;2.2;2.3;2.3;2.1;2.1;2.0;2.0;1.9
"Tay Ninh";0.1;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.6;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9
"Binh  Duong";0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
