"Gross output of wood by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Thai  Nguyen";39.7;57.9;23.7;15.8;11.8;11.9;11.6;11.1;23.8;22.7;27.1;28.7;29.0;37.3;38.2;50.7;60.6;100.1;136.8;162.8;171.1
"Lang Son";63.0;68.2;67.2;65.4;70.0;63.9;67.7;67.9;63.0;60.0;64.1;65.8;69.8;74.4;74.5;75.3;89.8;92.9;80.2;83.1;80.0
"Bac Giang";65.6;57.6;46.2;42.8;32.7;35.5;34.8;35.4;37.8;38.6;39.1;39.3;50.3;59.7;62.1;62.7;87.6;102.2;141.8;249.6;400.1
"Phu Tho";65.8;65.6;44.8;42.0;46.1;47.2;47.8;50.6;77.7;109.4;150.4;172.1;182.0;217.7;251.0;273.5;289.0;321.5;339.9;379.9;420.0
"Dien Bien";..;..;..;..;..;..;..;..;61.5;63.7;65.7;59.6;56.2;36.7;47.5;35.1;24.4;24.0;18.4;19.9;18.6
"Lai Chau";125.0;98.6;94.7;95.8;101.2;108.6;113.9;117.8;11.9;9.7;5.5;5.7;6.0;8.1;11.4;9.4;5.3;9.6;7.7;8.5;8.0
"Son La";101.0;102.4;97.8;95.6;89.4;87.1;67.6;47.6;57.5;54.1;53.4;52.0;51.8;50.1;48.4;43.9;44.0;44.8;36.4;42.4;41.5
"Hoa Binh";28.0;36.9;34.2;31.2;39.8;49.8;65.9;41.9;54.1;43.8;155.1;135.0;137.0;131.1;135.5;139.5;146.6;152.6;143.5;200.8;249.3
"Northern Central area and Central coastal area";653.5;704.5;646.8;540.2;497.0;558.9;553.2;577.3;656.3;752.4;833.2;870.8;991.1;1070.8;1073.9;1237.7;1443.5;1717.3;2349.9;3474.3;4150.0
"Thanh Hoa";65.0;61.0;51.0;42.9;47.8;39.4;39.1;32.5;35.0;33.1;33.7;46.1;45.8;51.6;54.3;51.3;53.0;75.3;230.7;305.5;398.5
"Nghe An";125.0;141.8;123.1;110.7;93.0;93.8;92.6;85.0;95.2;92.1;93.5;92.7;98.9;102.5;116.5;125.7;140.1;147.7;168.7;288.5;351.2
"Ha Tinh";32.0;41.0;32.8;27.8;21.8;28.5;27.1;28.4;41.4;44.0;47.5;49.2;73.1;64.4;63.5;84.4;88.5;113.2;188.3;258.2;269.6
"Quang Binh";43.0;38.4;32.8;28.2;17.7;30.8;29.2;29.2;48.3;39.6;37.3;34.8;43.5;45.0;47.5;74.0;86.5;116.6;217.6;254.9;200.0
"Quang Tri";23.9;43.2;19.7;16.4;8.9;13.4;20.9;24.7;27.6;34.3;44.6;48.4;54.2;66.0;83.4;105.7;121.6;166.0;249.7;313.8;399.0
"Thua Thien-Hue";34.5;41.7;31.3;28.0;30.2;31.1;26.3;27.0;46.1;49.1;54.2;58.1;64.6;61.1;62.0;82.5;161.3;179.0;159.6;256.1;308.1
"Da Nang";..;17.3;12.9;12.0;18.2;23.0;20.1;22.8;13.7;16.6;23.5;23.7;23.2;23.3;23.4;24.2;19.1;18.6;21.9;20.5;21.4
"Quang  Nam";125.0;83.4;75.3;65.9;64.4;69.1;69.2;64.2;64.3;91.7;128.7;141.2;156.0;206.3;169.7;189.0;205.7;226.9;345.1;624.2;695.0
"Quang  Ngai";45.9;53.6;63.4;61.0;60.5;57.9;57.9;77.5;92.2;150.6;151.4;150.2;180.6;180.7;180.5;185.5;209.0;245.2;303.1;524.1;715.5
"Binh Dinh";43.0;56.8;82.4;70.1;68.7;78.4;79.2;102.2;110.9;125.2;127.3;138.8;152.1;167.4;167.5;196.0;272.6;332.6;367.0;539.8;680.2
"Phu Yen";22.6;21.0;26.2;15.3;12.6;13.2;15.5;13.2;12.2;11.1;11.7;13.6;18.5;21.5;24.8;30.5;28.6;29.6;37.5;25.0;40.0
"Khanh  Hoa";43.6;55.0;56.7;34.9;30.3;34.3;36.4;34.4;31.6;33.7;39.8;33.0;40.1;40.8;37.2;35.1;36.8;38.8;32.2;37.0;28.5
"Ninh  Thuan";12.0;10.8;12.7;7.6;4.6;6.1;8.0;8.7;11.6;5.0;3.3;3.9;2.1;3.5;6.4;7.0;7.0;7.7;8.1;8.9;1.4
"Binh Thuan";38.0;39.5;26.5;19.4;18.3;39.9;31.7;27.5;26.2;26.3;36.7;37.1;38.4;36.7;37.2;46.8;13.7;20.2;20.4;17.8;41.7
"Central Highlands";415.3;388.6;335.1;245.4;243.5;372.8;395.2;419.8;313.0;324.1;309.3;328.7;352.5;375.7;334.7;416.5;589.5;620.3;539.6;447.3;455.8
"Kon Tum";42.0;50.9;51.1;46.7;31.9;31.8;26.3;39.9;41.0;40.1;38.4;31.8;37.0;42.7;56.0;16.7;26.7;38.5;26.5;16.5;22.4
"Gia Lai";84.4;94.5;79.4;68.4;47.8;137.2;160.7;142.0;88.5;130.1;118.0;167.2;181.1;181.3;106.0;220.7;326.5;330.4;134.4;100.0;120.0
"Dak Lak";200.9;200.3;148.7;82.0;127.1;165.3;168.7;180.2;103.7;63.3;79.9;62.0;59.0;57.5;53.5;49.6;77.6;96.9;206.6;165.7;182.6
"Dak Nong";..;..;..;..;..;..;..;..;..;25.1;25.4;20.1;22.0;20.6;30.0;33.8;36.8;15.4;15.1;12.6;8.8
"Lam Dong";88.0;42.9;55.9;48.3;36.7;38.5;39.5;57.7;79.8;65.5;47.6;47.6;53.4;73.6;89.2;95.7;121.9;139.0;157.0;152.5;121.9
