"Area of concentrated planted forest by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Tay Ninh";1.7;1.8;1.2;0.9;0.6;0.5;0.7;0.5;0.9;0.9;0.3;0.1;0.1;0.2;1.1;1.3;1.6;0.9;0.7;0.7;0.3
"Binh  Duong";..;0.0;0.1;0.2;0.4;0.1;0.3;0.1;0.7;0.6;0.5;0.2;0.2;..;..;..;..;..;0.1;0.1;0.1
"Dong Nai";9.4;4.3;3.2;1.6;2.7;3.1;2.2;1.3;1.9;1.1;1.1;1.1;1.9;1.7;0.4;1.7;0.7;..;2.1;1.7;1.7
"Ba Ria - Vung Tau";2.4;3.5;3.2;2.0;1.0;1.1;1.6;1.5;0.7;0.7;1.0;1.0;1.0;0.5;0.1;0.8;0.9;0.8;0.9;0.9;0.9
"Ho Chi Minh city";0.6;0.5;0.5;0.1;0.1;0.1;0.2;0.2;..;..;..;..;..;..;..;0.1;..;..;0.2;0.2;0.1
"Mekong River Delta";39.5;24.5;27.7;21.0;17.2;18.2;20.2;22.7;26.4;19.3;13.3;9.3;7.6;6.9;10.4;6.1;1.3;1.6;7.1;5.3;8.8
"Long An";0.1;1.1;2.0;2.0;3.5;6.6;6.7;7.2;7.5;5.6;1.4;0.1;0.1;..;0.5;..;..;..;..;..;1.9
"Tien Giang";0.4;0.7;0.2;0.3;0.1;0.4;0.8;1.0;2.1;1.3;..;..;0.1;0.2;0.1;0.1;0.2;..;0.1;0.1;0.1
"Ben Tre";0.3;0.5;0.4;0.2;0.2;0.2;0.3;0.1;..;..;..;..;0.1;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.1
"Tra Vinh";..;0.2;0.3;0.5;0.6;0.2;0.5;0.2;0.2;0.2;0.4;0.2;0.1;0.2;1.0;0.3;..;0.1;0.1;0.4;0.3
"Dong Thap";0.4;0.2;0.1;0.5;0.2;0.2;0.5;0.9;0.7;0.7;0.5;0.2;0.4;0.4;0.4;0.3;..;0.3;0.2;0.2;0.1
"An Giang";0.7;1.0;2.4;2.0;1.6;1.5;1.7;1.6;1.3;1.5;1.5;0.5;0.4;0.4;3.5;1.0;0.1;0.1;1.5;..;0.1
"Kien  Giang";26.2;9.0;13.6;5.3;2.6;3.5;4.4;5.2;7.9;4.9;2.6;2.0;1.5;0.5;0.5;0.3;..;..;..;..;0.4
"Can Tho";..;0.1;0.1;0.1;0.0;..;..;..;..;0.3;..;..;..;..;..;..;..;..;..;..;..
"Hau Giang";..;..;..;..;..;..;0.3;0.1;0.1;..;0.2;0.2;0.2;0.2;0.5;0.2;0.1;0.1;0.1;0.2;0.2
"Soc Trang";..;0.9;0.6;0.7;0.6;1.0;0.6;0.5;0.2;0.3;0.2;0.3;0.3;1.1;0.4;0.3;..;0.1;0.7;0.6;0.6
"Bac Lieu";0.2;0.3;0.2;1.1;1.3;0.3;0.7;0.2;0.2;0.1;0.1;0.1;..;0.1;0.5;1.3;..;0.1;..;..;..
"Ca Mau";11.2;10.5;7.8;8.3;6.5;4.3;3.7;5.7;6.2;4.4;6.4;5.7;4.4;3.6;2.8;2.2;0.8;0.7;4.3;3.8;5.1
"Units are not included in provinces";..;12.5;20.6;33.5;41.8;8.5;5.3;3.3;2.0;2.2;4.5;5.0;5.0;3.5;6.9;5.0;25.4;1.9;1.7;1.4;1.1
