"Number of buffaloes as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Thua Thien-Hue";37.3;37.1;36.5;36.4;31.6;32.0;27.6;28.7;29.3;30.3;32.2;36.9;38.0;30.8;28.4;27.4;25.6;23.5;21.5;21.4;20.6
"Da Nang";3.5;3.4;3.2;2.9;2.9;2.7;2.6;2.6;2.5;2.3;2.3;2.4;2.3;2.3;2.2;2.0;2.0;1.9;1.9;1.9;2.0
"Quang  Nam";49.8;50.7;51.4;52.3;51.9;52.7;53.8;56.4;57.7;59.3;61.6;79.0;81.7;81.2;79.5;79.4;71.0;70.4;69.6;69.2;70.3
"Quang  Ngai";47.0;41.7;41.9;41.9;43.2;43.6;43.1;42.9;43.8;44.5;48.3;47.4;50.1;52.2;53.4;56.5;59.0;63.6;61.5;60.6;60.9
"Binh Dinh";18.5;17.4;18.1;18.3;19.5;18.6;20.7;20.4;20.5;20.4;19.3;19.3;20.2;19.2;18.9;19.4;20.6;21.0;21.0;20.9;20.5
"Phu Yen";3.2;3.2;3.2;3.3;3.2;3.4;2.4;2.5;2.5;2.6;2.7;3.7;3.8;2.9;2.9;3.0;3.6;3.7;3.9;3.8;3.9
"Khanh  Hoa";13.4;7.8;7.2;6.7;6.7;6.8;5.3;5.1;4.9;5.2;5.3;4.8;5.1;5.3;4.9;5.1;4.8;4.6;4.7;4.6;4.6
"Ninh  Thuan";10.3;10.4;9.5;8.6;7.1;6.1;5.4;5.1;5.0;5.2;4.3;4.5;4.4;4.0;4.2;4.3;4.2;4.0;3.9;3.8;3.7
"Binh Thuan";17.8;18.5;17.0;14.5;12.8;10.6;7.8;8.0;7.7;8.1;7.5;8.1;8.7;8.3;8.7;9.2;8.0;8.5;8.8;8.8;8.6
"Central Highlands";69.1;73.2;65.8;63.5;71.8;68.4;61.6;62.1;65.8;68.8;71.9;79.0;84.7;88.6;89.8;94.2;90.7;91.6;92.0;88.7;86.3
"Kon Tum";10.0;10.5;11.4;12.3;11.9;11.8;11.6;11.8;12.8;13.4;14.1;15.4;18.1;19.3;20.1;21.1;20.4;20.6;21.0;20.5;20.6
"Gia Lai";14.5;15.2;15.7;15.9;16.8;16.4;14.7;13.8;13.8;13.8;13.5;12.0;12.0;12.2;12.4;13.2;13.4;13.9;14.2;13.8;13.3
"Dak Lak";21.8;25.2;16.3;12.2;23.1;22.7;21.1;22.0;23.0;20.4;21.6;28.1;29.4;31.1;30.9;33.2;31.7;32.1;33.0;32.5;30.3
"Dak Nong";..;..;..;..;..;..;..;..;..;4.2;4.9;6.7;7.2;7.5;7.5;7.7;7.8;7.0;6.5;6.2;6.3
"Lam Dong";22.8;22.3;22.4;23.1;20.0;17.5;14.2;14.5;16.2;17.0;17.8;16.8;18.0;18.5;18.9;19.0;17.4;18.0;17.3;15.7;15.8
"South East";126.7;123.3;120.2;116.7;107.7;101.5;97.8;98.9;93.3;92.1;91.5;73.0;67.6;61.1;63.0;62.1;60.2;57.2;53.2;49.3;46.5
"Binh Phuoc";14.2;14.5;13.8;15.3;16.3;17.3;16.7;18.8;18.8;19.8;21.3;17.5;18.6;19.0;19.1;19.0;16.4;15.2;14.4;13.1;12.6
"Tay Ninh";51.9;53.8;53.4;51.3;52.6;50.4;48.3;48.9;44.7;42.5;41.4;30.9;27.8;25.0;27.8;28.4;29.3;27.2;24.1;22.0;20.0
"Binh  Duong";19.6;20.0;18.9;18.4;18.0;16.7;15.8;16.3;16.4;17.0;15.7;11.2;10.0;7.7;6.8;5.7;5.3;5.4;5.6;5.5;5.4
"Dong Nai";12.4;10.5;10.1;9.6;8.7;7.9;7.7;6.7;6.0;6.1;6.0;6.0;5.7;4.7;4.8;4.0;3.5;3.5;3.0;2.7;2.5
"Ba Ria - Vung Tau";2.1;2.2;1.7;1.7;1.2;1.3;1.2;1.0;1.2;1.1;0.8;1.3;0.7;0.7;0.6;0.6;0.6;0.5;0.5;0.5;0.5
"Ho Chi Minh city";26.5;22.3;22.3;20.4;10.8;7.9;8.1;7.2;6.2;5.6;6.3;6.1;4.8;4.0;3.9;4.4;5.1;5.4;5.6;5.5;5.5
"Mekong River Delta";124.6;112.5;98.9;90.2;75.8;63.7;40.2;37.3;35.8;36.4;38.8;38.8;38.1;43.1;43.3;44.4;43.9;40.7;37.1;35.0;33.9
"Long An";28.9;28.1;26.5;25.5;25.0;22.4;11.6;10.7;10.9;11.4;12.8;11.9;11.4;14.5;13.6;15.5;14.9;13.5;13.2;13.0;13.1
"Tien Giang";4.9;2.9;2.0;1.7;1.3;0.9;0.8;0.9;0.8;0.6;0.6;0.5;0.4;0.4;0.3;0.4;0.3;0.3;0.3;0.3;0.3
"Ben Tre";11.5;10.8;10.0;9.5;8.5;5.4;4.1;3.6;3.3;2.8;2.9;1.7;1.9;1.8;1.8;1.8;1.8;1.5;1.2;1.1;0.9
"Tra Vinh";15.3;14.5;13.2;12.5;9.6;7.6;4.2;4.0;3.7;2.9;2.8;2.5;2.4;2.4;2.2;2.2;2.2;1.6;1.3;1.1;1.0
"Vinh Long";5.7;5.5;5.4;5.1;0.8;0.5;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.2;0.3;0.3;0.2;0.2
"Dong Thap";3.9;3.8;3.1;2.6;2.1;1.8;1.7;1.5;1.5;1.4;1.3;1.7;1.6;1.6;1.7;1.2;2.1;2.4;2.5;2.4;2.5
"An Giang";5.2;5.1;4.4;3.7;3.3;3.2;3.1;3.7;3.7;4.6;5.4;5.4;5.0;5.4;5.4;5.7;5.1;5.1;4.3;4.2;4.0
"Kien  Giang";15.2;13.7;12.1;10.7;9.2;8.7;7.6;6.8;6.4;7.2;7.4;8.4;8.5;9.7;10.0;9.3;9.1;7.8;7.0;6.3;6.0
