"Production of cereals per capita by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Binh Thuan";238.2;256.9;279.5;294.1;292.3;334.1;357.1;358.3;375.2;382.7;376.4;404.7;468.6;490.7;524.0;549.0;597.8;617.9;632.1;659.6;643.4
"Central Highlands";160.2;167.6;186.4;166.6;180.6;214.1;233.2;252.7;364.1;327.6;352.4;389.8;388.7;400.1;412.7;427.0;431.5;442.8;450.7;465.4;447.1
"Kon Tum";163.5;164.8;177.3;164.3;167.7;199.8;230.4;247.7;255.2;269.6;254.1;254.9;257.5;251.1;245.0;240.0;228.5;238.0;233.3;228.4;231.9
"Gia Lai";153.4;179.2;184.3;169.3;195.5;235.8;268.8;283.2;355.1;344.6;361.3;397.8;394.5;389.2;387.7;406.3;378.9;403.4;399.4;411.3;395.3
"Dak Lak";173.4;178.7;196.1;167.3;189.2;242.5;259.1;302.5;519.8;432.2;450.0;546.3;519.6;552.4;569.2;609.2;630.2;617.6;647.9;681.4;651.9
"Dak Nong";..;..;..;..;..;..;..;..;..;313.9;461.8;482.0;495.3;541.9;606.7;612.8;622.2;679.3;695.4;714.7;679.6
"Lam Dong";144.5;138.3;174.5;163.3;154.7;146.1;151.6;133.2;177.3;179.6;191.8;163.3;195.2;185.6;192.1;176.9;194.1;204.0;192.9;188.3;182.2
"South East";124.7;135.5;137.1;131.1;140.7;148.7;144.4;144.5;149.1;144.5;133.0;123.8;127.3;128.9;126.8;119.3;120.2;121.6;117.0;115.7;115.5
"Binh Phuoc";76.7;78.3;99.9;74.0;76.7;66.0;72.7;76.2;81.5;77.7;80.0;69.1;73.4;69.7;78.6;75.4;66.1;72.4;69.8;65.4;65.5
"Tay Ninh";339.6;431.1;442.7;433.7;540.5;568.9;572.9;604.3;649.4;652.0;599.3;601.5;640.4;694.2;706.1;716.7;729.4;738.0;701.3;696.0;709.5
"Binh  Duong";116.7;104.5;104.1;99.3;101.0;93.1;89.3;87.9;81.9;77.1;53.5;39.5;34.2;29.2;25.8;24.7;23.4;22.2;21.0;18.6;16.4
"Dong Nai";217.1;242.1;230.4;214.9;218.6;246.7;243.0;253.1;267.0;254.5;273.7;256.5;267.0;266.2;260.8;234.9;241.4;247.0;242.6;243.6;241.4
"Ba Ria - Vung Tau";130.9;155.9;144.0;163.2;156.9;180.2;178.1;162.4;159.2;162.9;154.1;159.6;163.1;168.6;176.6;160.2;166.1;162.0;163.2;168.2;174.7
"Ho Chi Minh city";51.4;43.4;49.0;46.2;45.1;45.7;39.6;33.0;30.0;28.3;22.0;16.7;17.3;16.3;14.5;12.8;11.7;12.5;12.0;11.7;11.2
"Mekong River Delta";831.6;886.3;876.8;959.4;1009.8;1025.1;974.2;1066.3;1097.0;1097.4;1155.8;1086.7;1107.8;1220.0;1204.5;1269.1;1355.9;1410.1;1447.0;1454.2;1473.8
"Long An";812.4;934.2;971.2;1082.2;1162.2;1183.6;1213.0;1278.8;1281.0;1365.7;1398.5;1275.0;1394.5;1544.4;1516.5;1617.2;1777.1;1840.2;1931.1;1956.1;1989.1
"Tien Giang";755.5;775.9;831.5;828.8;813.0;805.6;790.6;784.3;768.9;788.0;796.3;736.5;794.5;801.3;791.2;796.4;802.0;818.6;800.5;807.0;786.8
"Ben Tre";251.5;276.5;249.0;263.3;253.2;275.4;292.6;299.8;286.7;275.8;270.4;263.5;242.8;288.3;291.2;294.7;291.1;300.6;265.1;254.8;222.7
"Tra Vinh";694.0;721.1;757.4;781.7;871.2;973.5;922.0;1016.2;1064.2;1039.0;1062.5;1040.3;956.3;1114.5;1099.3;1175.1;1170.1;1261.4;1272.8;1318.0;1337.5
"Vinh Long";871.0;890.2;873.9;964.5;955.5;925.8;891.6;934.1;905.5;923.6;953.9;912.6;792.7;877.2;891.5;907.6;1006.2;1046.8;1027.5;1046.4;1050.2
"Dong Thap";1090.7;1147.7;1146.6;1245.7;1331.7;1196.9;1240.7;1366.3;1376.9;1494.6;1611.6;1482.3;1557.4;1659.5;1609.0;1696.2;1871.7;1841.7;2005.5;1984.4;2036.2
"An Giang";989.9;1018.6;993.7;1014.3;1026.4;1053.5;1026.4;1239.8;1280.4;1418.9;1519.5;1410.9;1510.1;1679.9;1623.5;1731.8;1828.3;1865.3;1905.5;1902.1;1919.4
"Kien  Giang";1050.6;1193.6;1164.7;1283.8;1347.0;1498.9;1418.2;1646.6;1549.9;1680.6;1817.7;1675.7;1799.1;2025.5;2012.4;2057.6;2290.4;2482.9;2578.8;2596.9;2648.4
"Can Tho";985.3;1027.2;966.4;1056.9;1091.3;1027.3;1057.0;1189.7;1931.3;1066.3;1077.2;996.8;969.3;1019.1;961.8;1005.5;1076.9;1091.6;1120.5;1109.0;1130.4
"Hau Giang";..;..;..;..;..;..;..;..;..;1391.5;1486.4;1419.8;1156.5;1360.7;1323.9;1444.6;1480.6;1543.7;1568.4;1585.1;1683.5
"Soc Trang";950.3;1000.3;1020.8;1187.9;1285.3;1364.1;1264.3;1340.6;1309.1;1220.8;1306.0;1273.4;1263.1;1364.0;1388.3;1526.7;1618.5;1738.9;1713.8;1743.5;1763.3
"Bac Lieu";697.3;775.0;715.3;926.0;1091.0;1201.5;961.4;905.0;810.7;784.2;816.4;824.6;830.5;902.8;958.2;938.5;1043.8;1130.2;1166.2;1182.2;1199.0
"Ca Mau";510.8;562.5;508.7;651.8;751.8;747.5;362.1;359.2;300.0;337.1;327.7;339.9;351.2;402.2;417.7;412.6;447.5;458.4;468.0;455.3;440.1
