"Planted area of sugar-cane by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Kon Tum";1.8;2.2;2.6;0.6;3.9;3.6;3.6;3.5;3.6;3.4;2.8;2.7;2.8;2.3;2.1;1.9;1.8;1.8;1.8;1.9;1.8
"Gia Lai";5.3;8.4;9.5;8.9;12.6;11.1;12.1;14.7;15.5;14.8;13.9;17.6;18.5;18.5;19.0;21.7;26.9;33.4;35.0;38.2;38.6
"Đak Lak";4.2;5.4;5.8;6.9;9.8;7.4;8.2;10.3;10.0;8.7;7.2;8.1;10.0;10.9;10.9;12.9;16.1;16.1;17.6;17.0;15.6
"Lam Đong";3.2;4.1;4.5;3.9;4.7;3.4;3.3;3.1;2.5;2.3;2.0;2.0;1.8;1.4;1.1;1.0;0.9;0.9;0.9;0.6;0.4
"Binh Phuoc";0.1;0.1;0.7;2.9;3.7;1.2;1.2;1.4;1.5;1.1;0.8;0.8;0.7;0.6;0.5;0.5;0.5;0.4;0.3;0.3;0.3
"Tay Ninh";17.5;17.3;26.8;28.3;32.1;25.4;29.5;33.1;30.0;28.5;31.6;38.0;33.0;18.9;24.6;25.5;23.9;23.2;22.3;18.4;14.2
"Binh Duong";5.0;3.7;4.0;4.2;4.1;3.3;3.5;3.6;3.6;3.5;1.3;1.1;1.3;0.9;0.7;0.8;1.1;1.3;1.0;0.9;0.8
"Đong Nai";9.9;9.6;8.3;9.3;12.5;10.0;11.0;12.8;11.5;10.5;8.9;8.8;8.9;8.7;9.0;9.6;10.5;10.7;10.5;10.0;9.3
"TP.Ho Chi Minh";5.7;5.4;4.7;4.2;4.5;3.9;3.6;3.6;3.3;2.8;2.6;2.3;2.0;2.0;2.1;2.0;2.1;2.3;2.4;2.3;2.3
"Long An";15.9;15.8;16.1;14.9;17.5;18.8;16.5;15.7;15.8;14.9;14.7;14.9;15.8;15.4;14.9;12.8;12.6;13.6;13.4;13.0;12.1
"Ben Tre";14.6;14.5;14.5;15.0;15.8;12.9;12.4;12.8;11.2;9.8;8.9;9.2;7.7;7.0;7.0;5.9;5.3;5.0;4.5;3.5;2.1
"Tra Vinh";9.5;6.0;6.4;7.0;7.7;5.3;7.6;8.2;7.6;7.0;6.3;6.8;6.7;6.2;5.8;6.1;6.6;6.7;6.8;6.6;5.9
"Kien Giang";6.5;9.3;8.0;8.0;10.4;4.6;4.3;5.0;4.9;3.8;3.7;4.5;3.5;4.1;3.5;4.5;4.4;4.9;5.7;5.8;5.8
"Can Tho";..;..;..;..;..;..;..;..;..;..;14.5;..;..;..;13.0;0.0;0.0;0.0;0.0;0.0;0.0
"Hau Giang";..;..;..;..;..;..;..;..;..;..;11.0;..;..;12.9;12.9;13.1;13.7;14.2;13.9;13.1;11.9
"Soc Trang";11.1;10.6;10.9;13.5;14.2;10.2;12.1;13.0;11.1;10.3;0.7;13.0;13.1;0.3;0.3;13.9;14.0;13.3;13.0;12.1;10.5
"Bac Lieu";..;..;..;..;..;..;..;..;..;..;3.4;..;..;..;1.8;0.3;0.2;0.2;0.4;0.2;0.3
