"Production of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Binh  Duong";0.5;1.4;1.8;1.9;2.1;2.1;2.1;2.3;2.2;2.2;2.0;1.6;1.3;1.2;1.2;1.2;1.0;0.9;0.8;0.7;0.7
"Dong Nai";182.6;232.2;210.0;184.9;202.5;232.9;221.9;246.1;269.9;256.3;294.3;288.0;308.9;314.5;313.9;282.0;305.4;328.1;340.2;354.3;366.9
"Ba Ria - Vung Tau";32.7;50.0;51.8;56.4;56.4;68.2;66.7;67.5;68.2;72.2;74.3;78.1;80.3;80.3;81.0;77.6;75.1;68.6;71.7;72.6;71.5
"Ho Chi Minh city";1.3;1.3;2.6;2.7;3.1;3.4;3.6;3.8;4.4;3.1;3.3;4.1;3.7;2.5;4.1;3.1;2.3;2.6;3.5;4.5;3.5
"Mekong River Delta";84.0;90.5;55.3;54.1;48.1;51.8;95.5;112.0;150.0;172.3;189.7;188.8;203.7;229.1;194.2;200.4;217.2;213.8;227.7;229.4;225.2
"Long An";0.4;0.6;2.5;0.7;1.0;1.3;8.9;5.2;10.8;10.0;14.5;22.3;26.6;27.6;19.5;28.5;25.9;23.8;22.4;29.2;29.0
"Tien Giang";3.2;4.6;5.4;6.2;6.0;6.2;5.6;8.3;8.6;9.7;10.8;4.8;13.4;15.4;15.6;15.7;16.5;15.4;14.9;14.5;15.8
"Ben Tre";3.1;3.1;2.4;2.5;1.9;2.2;3.1;3.4;2.6;2.8;2.9;1.9;2.3;2.1;3.1;3.5;3.9;3.4;2.6;2.7;2.6
"Tra Vinh";1.4;1.0;6.1;5.8;5.1;7.7;9.6;12.6;21.4;21.2;23.3;23.9;23.8;28.7;26.0;27.0;29.0;26.2;28.4;29.7;29.9
"Vinh Long";1.0;1.1;1.0;1.2;1.3;1.2;1.3;2.0;1.8;1.5;1.5;1.7;2.0;2.2;2.5;2.8;3.2;3.3;2.6;2.6;2.8
"Dong Thap";7.9;13.5;8.3;9.0;12.1;10.5;12.3;18.0;24.1;29.4;35.8;36.1;32.4;38.8;31.1;25.0;31.6;33.4;39.0;36.4;35.3
"An Giang";57.8;56.2;17.9;17.0;9.7;10.5;41.5;45.5;62.5;72.3;76.8;76.0;80.1;85.6;65.1;68.4;76.8;75.8;81.9;77.5;64.6
"Kien  Giang";..;0.1;..;..;..;..;..;0.0;0.4;0.2;..;0.1;..;0.1;0.2;0.2;0.3;0.3;0.7;0.7;1.3
"Can Tho";3.4;3.6;5.3;3.9;3.1;3.6;3.3;6.2;9.6;3.3;4.0;3.8;4.4;5.0;5.1;5.0;5.5;5.5;6.2;5.5;5.5
"Hau Giang";..;..;..;..;..;..;..;..;..;10.1;7.8;6.0;7.7;9.0;9.7;8.3;8.0;10.3;10.4;13.3;19.5
"Soc Trang";4.8;5.8;5.3;6.9;6.4;6.7;8.4;7.7;5.6;8.9;9.5;9.4;9.6;13.4;14.9;14.3;13.8;14.1;15.9;14.7;16.4
"Bac Lieu";0.4;0.3;0.5;0.5;0.8;0.8;0.6;1.2;1.1;2.3;2.1;2.1;0.9;0.7;0.7;0.7;0.7;0.6;0.9;0.8;0.7
"Ca Mau";0.6;0.6;0.6;0.4;0.7;1.1;0.9;1.9;1.5;0.6;0.7;0.7;0.5;0.5;0.7;1.0;2.0;1.7;1.8;1.8;1.8
